"ID","WGT"
"BE6329851198",0.0000592414658974836
"CND10004NX66",0.0000311416018776503
"HK0000757705",0.0000883552425365892
"HK0000824604",0.0000530131455219535
"IL0011677742",0.0000661940095724939
"IL0011677825",0.0000657594755928057
"IL0011677908",0.0000595311552172757
"IL0011736571",0.0000683666794709346
"IL0011736654",0.000066483698892286
"IL0011736738",0.0000650352522933255
"IL0011736811",0.0000638764950141571
"IL0011920878",0.0000883552425365892
"IL0060406878",0.0000556203494000824
"US00033AAA60",0.0000263617281010807
"US00081TAK43",0.0000556203494000824
"US00084DAU46",0.000072712019267816
"US00084DAV29",0.0000870516405975248
"US00084DAW02",0.0000935696502928469
"US001055BJ00",0.000105591757064219
"US001055BK72",0.0000399771261313092
"US00108WAK62",0.0000382389902125566
"US00108WAM29",0.0000553306600802903
"US00108WAN02",0.0000386735241922448
"US00108WAP59",0.0000554755047401863
"US00108WAQ33",0.0000567791066792508
"US00109LAA17",0.000100811883287649
"US00115AAK51",0.0000325900484766108
"US00115AAL35",0.0000291137766391056
"US00115AAM18",0.0000480884270854879
"US00115AAN90",0.0000344730290552594
"US00115AAP49",0.0000576481746386271
"US00119LAA98",0.0000535925241615377
"US001306AC39",0.0000334591164359871
"US00130HCB96",0.0000948732522319114
"US00130HCC79",0.0000703945047094793
"US00130HCE36",0.0000793748736230342
"US00130HCG83",0.0000909624464147181
"US00131LAJ44",0.000102550019206402
"US00131LAK17",0.00014991422299241
"US00131LAN55",0.0000987840580491047
"US00135TAC80",0.0000870516405975248
"US00138CAN83",0.0000499714076641365
"US00138CAS70",0.0000572136406589389
"US00150LAB71",0.000027085951400561
"US00164VAF04",0.0000719877959683358
"US00165CAP95",0.0000766228250850093
"US00165CBA18",0.0000632971163745729
"US00175PAB94",0.0000517095435828891
"US00175PAC77",0.0000337488057557792
"US00182EBM03",0.0000719877959683358
"US00182EBN85",0.0000980598347496244
"US00182EBP34",0.0000527234562021614
"US00182YAA38",0.0000564894173594587
"US001846AA20",0.0000443224659281906
"US00185PAA93",0.000030272533918274
"US001877AA71",0.0000337488057557792
"US00191AAD81",0.0000777815823641777
"US00191UAA07",0.0000563445726995626
"US001940AC98",0.0000346178737151554
"US00203QAE70",0.0000540270581412259
"US00206RHT23",0.0000328797377964029
"US00206RHV78",0.0000378044562328685
"US00206RHW51",0.0000828511454605394
"US00206RJK95",0.0000476538931057998
"US00206RJL78",0.0000317209805172345
"US00206RJX17",0.000253043620838396
"US00206RJY99",0.000286357892614487
"US00206RJZ64",0.000223350465559706
"US00206RKA94",0.000255650824716525
"US00206RKB77",0.000126304543429354
"US00206RKD34",0.0000538822134813298
"US00206RKE17",0.0000799542522626184
"US00206RKF81",0.0000525786115422654
"US00206RKG64",0.000218860281102928
"US00206RKH48",0.000227985494676379
"US00206RKJ04",0.000621528435613942
"US00206RLJ94",0.000614286202619139
"US00206RLV23",0.000533318037737248
"US00206RMJ85",0.000238269465528999
"US00206RML32",0.000305477387720765
"US00206RMM15",0.000335605076979143
"US00206RMN97",0.000497831096062717
"US00213MAV63",0.0000670630775318702
"US00213MAW47",0.0000776367377042817
"US00216LAC72",0.0000541719028011219
"US00216LAD55",0.0000690909027704148
"US00216LAE39",0.0000451915338875669
"US00216LAF04",0.0000737259318870884
"US00217AAA43",0.0000231751455833677
"US00217GAA13",0.0000744501551865686
"US00217GAB95",0.0000773470483844896
"US00217GAC78",0.0000871964852574208
"US00253XAA90",0.000380217232227126
"US00253XAB73",0.000321265455649434
"US002824BP42",0.0000627177377349887
"US002824BQ25",0.0000592414658974836
"US00287YBV02",0.000419180445739163
"US00287YBX67",0.000560114299818017
"US00287YBZ16",0.0003994815719933
"US00287YCA55",0.000402088775871429
"US00287YCB39",0.000573729697848246
"US00287YCV92",0.000103419087165778
"US00287YCX58",0.000317209805172345
"US00287YCY32",0.000185111475347149
"US00287YCZ07",0.0000411358834104776
"US00287YDA47",0.000108778339581932
"US00287YDB20",0.0000893691551558615
"US003000AA44",0.0000337488057557792
"US00401YAA82",0.0000433085533089183
"US00404AAN90",0.0000480884270854879
"US00404AAP49",0.0000499714076641365
"US00452AAA88",0.0000408461940906855
"US00489LAD55",0.0000463502911667353
"US00489LAF04",0.000066483698892286
"US00489LAH69",0.0000469296698063195
"US00507VAP40",0.0000449018445677748
"US00507VAQ23",0.000112399456079333
"US00510RAD52",0.0000440327766083986
"US00511BAA52",0.0000315761358573384
"US00623PAA93",0.0000223060776239914
"US00653VAA98",0.0000378044562328685
"US00653VAC54",0.0000498265630042405
"US00653VAE11",0.0000608347571563401
"US00724PAB58",0.0000530131455219535
"US00724PAC32",0.0000882103978766932
"US00724PAD15",0.000128187524008002
"US00737WAA71",0.0000428740193292302
"US00751YAE68",0.0000508404756235128
"US00751YAF34",0.0000336039610958831
"US00751YAG17",0.000033314271776091
"US007589AC83",0.0000382389902125566
"US007589AD66",0.0000280998640198333
"US007589AE40",0.0000318658251771305
"US00774MAM73",0.0000802439415824105
"US00774MAN56",0.000140933854078855
"US00774MAQ87",0.0000980598347496244
"US00774MAR60",0.0000647455629735334
"US00774MAS44",0.000100232504648065
"US00774MAU99",0.000336908678918207
"US00774MAV72",0.000374423445831284
"US00774MAW55",0.000367036368176585
"US00774MAX39",0.000377754873008893
"US00774MAY12",0.000137312737581453
"US00774MAZ86",0.000130505038566339
"US00774MBB00",0.000103274242505882
"US00775PAA57",0.0000663388542323899
"US00778XAA54",0.0000305622232380661
"US007903BF39",0.0000530131455219535
"US007903BG12",0.0000517095435828891
"US00790RAA23",0.0000376596115729724
