ID,WGT
US833794AB68,0.115906084
US834423AB16,0.010019446
US845011AE58,-0.004028843
US845467AT68,-0.130012713
US85205TAK60,-0.004018487
US85208NAE04,0.013265529
US858912AG34,0.009345119
US860630AG72,-0.010016715
US86562MCW82,0.129991268
US866677AJ62,-0.012427307
US86828LAC63,0.009981871
US87161CAN56,-0.040028763
US87162WAH34,0.040005241
US87165BAR42,-0.040017741
US871829BK24,-0.010010302
US872540AW92,0.019982615
US874054AH20,-0.080018549
US87612EBP07,-0.080031995
US878742BG94,-0.11999964
US87901JAH86,-0.130003736
US88023UAJ07,0.12000601
US88947EAU47,0.079983833
US89417EAR09,-0.035294626
US896239AC42,-0.0200413
US902613AP31,0.079999233
US90265EAR18,-0.120000104
US90353TAK60,-0.010040182
US91324PEJ75,-0.120040694
US913903BA74,0.113628643
US91529YAN67,-0.020015721
US918204BC10,-0.130017049
US92240MBL19,0.129364057
US92556VAD82,0.079987034
US925650AD55,0.12997236
US927320AA96,0.010025034
US928563AL97,-0.00815238
US92936MAF41,0.019718559
US929566AL19,0.119987028
US93627CAB72,0.003988388
US959802BA61,0.005817483
US98956PAV40,0.010005719
US98980BAA17,0.079492409
USP47465AB82,0.12998757
