DATE,MSQEFLRG Index,MSQEFVAG Index,MSQEFMOG Index,MSQEFQUG Index,SGIFXC10 Index,SGIFXM10 Index,BXIIXTBP Index,BXIISAGU Index,BXIIEPAG Index,BCOM Index
2/28/2011,109.73,111.15,81.01,110.36,978.233,983.76,160.9295,554.0603,151.7624,166.1437
3/31/2011,110.67,111.06,82.21,111.94,984.433,989.481,160.6778,551.1549,151.8117,169.5579
4/29/2011,112.01,111.13,83.9,113.41,1018.089,990.15,158.5308,553.1583,152.6112,175.4211
5/31/2011,114.17,110.09,85.3,113.61,1009.221,996.613,160.0472,558.427,152.7257,166.5416
6/30/2011,115.45,109.13,88.87,115.59,1012.231,1004.535,161.3903,559.7725,152.9599,158.1349
7/29/2011,113.78,107.24,90.11,115.08,1019.631,1023.293,170.7534,572.446,152.8069,162.8146
8/31/2011,119.42,108.51,91.05,115.84,1014.19,997.547,178.8502,584.2067,152.2848,164.4327
9/30/2011,126.88,109.16,89.63,115.44,981.592,1010.814,181.7982,588.414,152.1668,140.2016
10/31/2011,124.47,110.76,91.88,116.73,1006.501,1003.274,179.8049,586.4388,152.2797,149.4779
11/30/2011,127.27,110.19,93.88,116.68,995.101,1015.698,181.9557,588.937,152.6756,146.1596
12/30/2011,131.2,112.3,95.34,116.93,993.283,1019.014,183.9474,596.5923,152.9377,140.6802
1/31/2012,126.1,111.91,90.82,118.53,1021.391,1008.048,185.3197,600.2887,152.5324,144.1561
2/29/2012,123.3,111.26,91.16,119.61,1045.559,992.858,183.6747,598.8528,152.6697,148.0367
3/30/2012,125.22,110.08,92.93,120.21,1015.4,1003.08,177.5752,597.833,152.6213,141.9021
4/30/2012,127.14,108.06,97.23,120.84,1017.062,1018,178.158,597.2758,152.6798,141.2917
5/31/2012,131.03,107.96,99.69,120.44,965.73,992.897,184.4337,605.0081,152.9114,128.3789
6/29/2012,133.78,108.49,99.66,118.03,990.518,991.257,180.829,598.3688,153.3803,135.4213
7/31/2012,136.37,109.19,102.39,118.26,1003.704,979.903,186.9377,609.6398,154.4361,144.169
8/31/2012,135,109.1,100.97,118.63,1005.431,972.231,182.2359,608.183,154.4129,146.0275
9/28/2012,134.5,108.72,100.23,117.56,1021.558,968.603,182.8259,608.8204,154.4991,148.5061
10/31/2012,134.36,110.38,99.55,116.3,1017.085,981.244,179.5859,605.8773,154.4644,142.7416
11/30/2012,133.94,109.99,102.26,116.78,1023.644,977.035,179.5245,610.1291,154.5339,142.8028
12/31/2012,129.95,109.13,101,115.19,1026.535,975.869,178.9967,610.1165,154.6318,139.0707
1/31/2013,130.61,109.21,100.56,116.15,1042.591,972.791,177.4573,601.4757,154.0905,142.3956
2/28/2013,135.86,109.39,103.3,116.99,1023.781,969.736,176.0781,600.8262,154.8148,136.5666
3/29/2013,140.7,108.61,104.77,116.8,1032.8,972.745,178.3422,603.6998,154.6729,137.4762
4/30/2013,139.92,109.11,105.65,117.22,1043.674,989.83,178.7939,604.7078,155.0286,133.6316
5/31/2013,134.83,108.56,105.64,117.29,1005.973,982.462,171.8371,596.5416,154.6617,130.6295
6/28/2013,137.27,107.62,106.23,116.95,991.095,972.405,172.5545,590.4155,154.1655,124.4663
7/31/2013,137.42,107.24,106.82,118.86,994.542,978.625,168.5069,592.0552,154.5265,126.1571
8/30/2013,134,107.31,104.31,117.87,985.403,998.8,169.8726,592.4162,154.3539,130.4445
9/30/2013,133.22,106.5,106.44,120.02,1015.325,994.356,166.7156,597.9298,154.7939,127.1103
10/31/2013,134.64,107.89,108.19,119.84,1017.868,1004.136,167.1128,602.5469,155.1344,125.2281
11/29/2013,133.91,108.72,110.79,121.06,996.243,1001.79,167.918,602.5893,155.4136,124.2192
12/31/2013,133.67,107.97,111.91,121.01,997.564,1000.859,162.7307,590.702,154.9228,125.7515
1/31/2014,130.59,106.75,110.66,116.87,974.35,1002.88,162.5558,596.5813,155.363,126.1206
2/28/2014,129.43,106.81,111.86,116.97,1003.739,1013.053,163.2072,596.7727,155.4226,133.9783
3/31/2014,131.25,109.31,110.93,117.57,1023.655,1007.761,161.7855,594.3693,155.3164,134.5234
4/30/2014,133.26,111.15,108.3,117.22,1023.78,1007.224,162.1413,596.1268,155.5002,137.7964
5/30/2014,133.59,111.03,109.25,116.25,1019.317,1012.403,165.4099,601.3912,155.7619,133.8324
6/30/2014,133.5,110.24,109.39,114.54,1034.712,1007.12,165.1824,601.5972,155.4504,134.6268
7/31/2014,134.82,111.04,108.34,113.17,1004.906,1010.786,165.2465,601.6643,155.3209,127.9143
8/29/2014,136.41,111.24,108.21,114.37,1008.752,1005.644,170.6642,608.4695,155.849,126.5745
9/30/2014,137.39,111.36,109.78,115.23,945.347,1000.021,169.2317,607.7875,155.9451,118.6922
10/31/2014,141.68,112.35,111.21,118.93,942.653,987.557,172.3745,613.9482,156.7404,117.7365
11/28/2014,144.99,112.62,112.59,119.89,934.279,982.753,175.0796,620.7048,157.1414,112.9451
12/31/2014,146.84,112.85,113.12,120.49,926.984,965.126,176.9904,623.1029,157.0052,104.3285
1/30/2015,147.93,110.46,117.44,117.94,888.093,967.204,185.8764,637.2061,157.6515,100.8413
2/27/2015,145.81,110.14,114.42,117.94,909.554,967.593,181.8597,629.3218,157.3651,103.4379
3/31/2015,146.2,109.23,116.64,119.02,902.471,960.934,180.628,634.1729,157.8923,98.123
4/30/2015,144.11,108.94,109.98,117.64,913.569,970.152,179.5313,631.7855,157.8173,103.7471
5/29/2015,145.06,109.05,113.39,118.2,889.863,968.719,173.858,631.9982,158.0001,100.9465
6/30/2015,144.74,108.02,114.6,118.79,876.562,951.806,176.7462,628.5963,157.8184,102.6892
7/31/2015,150.36,107.32,120.57,121.73,857.678,962.089,176.1518,630.8661,157.9631,91.7827
8/31/2015,151.54,107.38,121.4,120.9,830.715,967.596,175.8011,633.7907,158.5344,90.9328
9/30/2015,157.66,107.38,126.54,123.25,825.804,975.197,177.9654,639.958,159.0734,87.8214
